,genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,month,decade,group5,group4,group7,group6,group1,group3,group2
343,"[28, 18, 53, 10752]",Lone Survivor,/8ST6iVp3fkUSbUpXRAc2Q96YQRk.jpg,193756,3.094015,"war,survival,navy seal,military,dangerous mission",1291,7.3,Peter Berg,217267.0,15,32.0,27.0,12,10,0,0,0,1,1,0,1
344,"[28, 18]",The Impossible,/sEx5mrVvVyyJHICMGe55KaUzEgt.jpg,80278,3.093962,"thailand,tsunami,family vacation,tidal wave,catastrophe,swept away,separation from family,boxing day,year 2004",1606,6.9,J.A. Bayona,155020.0,12,21.0,28.0,9,10,0,0,0,1,0,0,1
345,"[28, 35, 10752]",Hot Shots!,/7xTBjS7yfBk7xtTs8ckJKGp4HOl.jpg,9595,3.093473,"secret mission,bad luck,saddam hussein,drill instructor,jet crash",436,6.3,Jim Abrahams,82767.0,12,14.0,6.0,7,8,0,0,1,1,1,0,0
346,[10752],Enemy at the Gates,/dOWSbEn3ucyoiBE9IgFWAo1O7Sg.jpg,853,3.093464,"winter,sniper,world war ii,stalingrad",789,7.1,Jean-Jacques Annaud,199120.0,15,30.0,46.0,3,9,0,0,0,0,1,0,0
347,"[27, 878, 9648]",Event Horizon,/vo02iJLsem3VCJ2TNvSzRiJMpAE.jpg,8413,3.090526,"space marine,nudity,nightmare,hallucination,cryogenics,space travel,black hole,insanity,delusion,crew,alternate dimension,evil spirit,hellgate,religion,explosion,violence,burning man,rescue team,flashback,supernatural power,trapped in space,distress signal,derelict ship",573,6.4,Paul W.S. Anderson,126802.0,18,15.0,47.0,8,8,0,0,0,1,0,0,1
348,[18],Wild,/zpdwj7Q8ZdTX2bWbltCFjVwugJu.jpg,228970,3.089889,"adventure,biography,hiking,based on true story,traveller",815,7.0,Jean-Marc Vallée,94571.0,15,7.0,3.0,12,10,0,0,0,0,0,0,1
349,"[18, 10749]",The Dreamers,/7ABcfmXQZeCXl5sNrDuLS1URMPN.jpg,1278,3.087627,"paris,love triangle,male nudity,female nudity,sex,hotel,sexuality,cinephilia,flat,bathing,riot,first time,students' movement,crush,american,twins,apartment,incest",443,7.1,Bernardo Bertolucci,86451.0,R,26.0,14.0,9,9,1,0,0,0,0,0,1
350,[18],The Hunt,/hD42EDHLap5UVmv9CZrUiTxH3rY.jpg,103663,3.082501,"father son relationship,denmark,lie,pedophilia,kindergarten,father,deer,children,teacher,school,pedophile,divorce,hunting",714,7.9,Thomas Vinterberg,189442.0,15,4.0,3.0,8,10,0,0,0,0,0,0,1
351,"[35, 10749]",Airplane!,/b4sAWNIbfXw4WTdc1wiVRBk2Vko.jpg,813,3.082455,"chicago,alcohol,cataclysm,guitar,medicine,taxi driver,passenger,saxophone,stewardess,pilot,airplane,fear of flying,air controller,landing,autopilot,kiss,spoof,los angeles,alcohol abuse,aftercreditsstinger",824,7.1,Jim Abrahams,168512.0,PG,24.0,2.0,7,7,1,0,1,0,0,0,0
352,"[12, 14, 878]",Hellboy II: The Golden Army,/fFcZqnWDeQsImDAAIyAimc3SGEl.jpg,11253,3.081821,"auction,northern ireland,resignation,superhero,rebellion,violence,spear,cut arm,split screen,superhero team,arm ripped off,super villain,remorse,self exile,vanishing figure,son killing father",1186,6.5,Guillermo del Toro,215776.0,12,48.0,73.0,7,9,0,0,0,1,0,1,0
353,[18],Magnolia,/jxkHxPiMfGiFvxSOduNV4oIKJI5.jpg,334,3.081451,"farewell,regret,parents kids relationship,suicide attempt,becoming an adult,loss of father,dying and death,chance,child prodigy,daughter,unsociability,reconciliation",639,7.5,Paul Thomas Anderson,248735.0,18,22.0,47.0,12,8,0,0,0,0,0,0,1
354,"[14, 28, 12]",The Scorpion King: Rise of a Warrior,/quqsgaoLSct4DzsKb6I7S5wmapw.jpg,13486,3.081197,"mercenary,training,greek",96,4.3,Russell Mulcahy,10898.0,12,45.0,17.0,7,9,0,0,0,1,0,1,0
355,[35],Zoolander,/zNBryDxDAScAgKat8X18K2Jtg6k.jpg,9398,3.078186,"male model,time magazine,fashion show,fashion model,fictional awards show,lincoln assassination,coal mine,reference to john wilkes booth",1034,6.2,Ben Stiller,210125.0,R,15.0,11.0,9,9,0,0,1,0,0,0,0
356,"[18, 53]",The Insider,/sYQsmMl4oG56NtFaNkDxuJhhODa.jpg,9008,3.077314,"spy,newspaper,research,interview,tobacco,insider,conspiracy theory,reporter,whistleblower,columbia broadcasting system (cbs),tobacco industry",368,7.3,Michael Mann,138167.0,15,1.0,6.0,10,8,0,0,0,0,0,0,1
357,"[35, 80]",Horrible Bosses,/17rVRW7ond0PR2KJHY0xY00isTB.jpg,51540,3.072006,"conspiracy of murder,bad boss,employee,death of father,stakeout,duringcreditsstinger",1804,6.4,Seth Gordon,366791.0,15,55.0,6.0,7,10,0,0,1,0,0,0,1
358,"[28, 878]",Hulk,/ogCQV6mnLtCJuiiHtMB83jvSRfY.jpg,1927,3.071123,"san francisco,monster,mutation,berkeley,transformation,marvel comic,superhero,hulk,superhuman strength",1139,5.3,Ang Lee,219374.0,12,98.0,36.0,6,9,0,0,0,1,0,0,0
359,"[28, 12, 35, 10751]",Paul Blart: Mall Cop,/iQpC6Yia7LpwjYlmHkeyEOeG9w2.jpg,14560,3.070872,"security guard,duringcreditsstinger",644,5.3,Steve Carr,87295.0,PG,12.0,7.0,1,9,0,1,1,1,0,0,0
360,"[12, 10751, 14]",The Chronicles of Narnia: Prince Caspian,/mEHd5n927ifJEODgbtC09Faqwcg.jpg,2454,3.070867,"based on novel,fictional place,lion,human being,wretch,leap in time,matter of life and death,siblings,faith,uncle,narnia,fantasy world",1149,6.2,Andrew Adamson,158358.0,PG,80.0,95.0,5,9,0,1,0,1,0,1,0
361,"[36, 80, 18]",Public Enemies,/qisfF7ENdmGI8fpQJoCxIIU1QhH.jpg,11322,3.069871,"cinema,hiding place,machinegun,prison guard,escape from prison,dillinger",1088,6.5,Michael Mann,239148.0,15,41.0,31.0,7,9,0,0,0,0,1,0,1
362,"[18, 53]",Argo,/oai3xLBQHpIh18VJdRCcL7D0Yg0.jpg,68734,3.069795,"cia,wife husband relationship,document,revolution,hiding place,canadian,press conference,biography,hanged man,american abroad,crane,subtitled scene,movie poster,based on article,extraction,iran hostage crisis,sweatshop,intelligence agent,film studio,langley virginia,1980s",2927,7.0,Ben Affleck,477992.0,R,47.0,7.0,10,10,0,0,0,0,0,0,1
363,[27],Final Destination,/nW6JfCIWqUpIESlras0nrVy4pCl.jpg,9532,3.068781,"omen,airplane accident,corpse,death,near-death experience",974,6.4,James Wong,188951.0,15,41.0,15.0,3,9,0,0,0,0,0,0,1
364,"[35, 10749]",Bridget Jones: The Edge of Reason,/fs3nGIwSBk9H8EcuPtnj7qQrYj2.jpg,9801,3.068739,"london england,lovesickness,thailand,clumsy fellow,to drop brick,capture,woman director",574,6.0,Beeban Kidron,82969.0,15,13.0,14.0,11,9,1,0,1,0,0,0,0
365,"[28, 35, 80]",Beverly Hills Cop II,/2y1z1baxKT0coTTRlnkI6McnR9f.jpg,96,3.065081,"smuggling of arms,detective,intensive care,undercover,strip club,armored car,investigation,police,swimming pool,sequel,shootout,gunfight,los angeles,explosion,violence,car chase,detroit,horse track,beverly hills,buddy cop,oil field,cement truck,playboy mansion,shooting range",479,6.1,Tony Scott,88678.0,R,26.0,4.0,5,7,0,0,1,1,0,0,1
366,"[35, 10402, 10749]",Hairspray,/ndOpIx4BXpFCRRIxgMoGHxZxlE9.jpg,2976,3.060858,"races,dream,dance,television,tv show,race politics,coloured,music,equality,school party,performance,integration,overweight woman,duel,based on stage musical,xenophobia,based on film,1960s",516,6.3,Adam Shankman,102440.0,PG,14.0,6.0,7,9,1,0,1,0,0,0,0
367,"[28, 53, 12]",You Only Live Twice,/7dnsJZniZK1Hbc9mOFDYa5W0dHi.jpg,667,3.060537,"london england,japan,england,assassination,helicopter,vulkan,assassin,asia,secret identity,nasa,island,russia,missile,war ship,ninja fighter,secret base,secret mission,secret organization,secret intelligence service,phantom,villain,sumo ringer,volcano,funeral,space,soldier,killer,secret service,blast",433,6.4,Lewis Gilbert,78688.0,15,54.0,10.0,6,5,0,0,0,1,0,0,1
368,"[878, 12, 9648]",Star Trek: The Motion Picture,/hqsfe8mBWrvOQDEhIWcRlyQK5WL.jpg,152,3.060402,"artificial intelligence,uss enterprise,starfleet,san francisco,self sacrifice,spacecraft,klingon,vulcan,space opera",441,6.2,Robert Wise,66726.0,PG,7.0,6.0,12,6,0,0,0,1,0,0,1
369,"[12, 14, 28]",The 13th Warrior,/ooR8S0O0ZgxK2OBnT1GWHrr9w92.jpg,1911,3.059703,"witch,cave,arabian,scandinavia,bagdad,viking,iraq,war,mission",390,6.3,John McTiernan,103836.0,15,79.0,15.0,8,8,0,0,0,1,0,1,0
370,"[28, 53]",Blood Father,/rQ3CKv33u2Z4keC2AYZqi3RGIdX.jpg,309886,3.059656,"drug dealer,independent film,father daughter relationship,family reunion,ex-con",386,6.2,Jean-François Richet,39009.0,15,20.0,15.0,8,10,0,0,0,1,0,0,1
371,"[35, 10749]",Meet the Parents,/wVjtQtzv9IcNRGnOOdcK797Sdxx.jpg,1597,3.05703,"cia,airport,cat,jew,orderly,airplane,father-in-law,epistaxis,daughter,lost baggage,urn,pavilion,volleyball,hospital,wedding",1290,6.6,Jay Roach,269769.0,12,8.0,4.0,10,9,1,0,1,0,0,0,0
372,"[10749, 27, 35, 53]",Pride and Prejudice and Zombies,/aYxSgQO3TRVtTXZnl46evR6NtvZ.jpg,58431,3.05703,"based on novel,shaolin,prejudice,zombie,pride,golddigger,regency period,parson,mashup",464,5.4,Burr Steers,34150.0,15,15.0,20.0,2,10,1,0,1,0,0,0,1
373,"[28, 53, 80]",Transporter 2,/bZKkwfQf4mHYlNbmViNjmAN60zY.jpg,9335,3.053109,"martial arts,war on drugs,bodyguard,baby-snatching,kidnapping",845,6.1,Louis Leterrier,163392.0,12,127.0,16.0,8,9,0,0,0,1,0,0,1
374,"[18, 28, 53, 80]",Patriot Games,/nB8fcOEQPS0V64U0ZUJXCTEaCDY.jpg,9869,3.052745,"assassination,assassin,repayment,ira,jack ryan",338,6.3,Phillip Noyce,84445.0,15,57.0,11.0,6,8,0,0,0,1,0,0,1
375,"[28, 53]",Death Proof,/nyQBcpxqS4im2akQlWG9Y1oeM2V.jpg,1991,3.050941,"women,disc jockey,sports car,bar,ladykiller,sadism,female friendship,women's prison,stunt,stuntman,psychopath,stalker,gore,beaten to death,sadist,violence,car chase,killer car,misogynist,duringcreditsstinger",995,6.7,Quentin Tarantino,218754.0,Unrated,24.0,20.0,5,9,0,0,0,1,0,0,1
376,"[10751, 35, 14]",How the Grinch Stole Christmas,/uOWOw8ZTkGQqx6qkNPhG9AovFJW.jpg,8871,3.050338,"holiday,christmas party,new love,santa claus,village,kids and family",985,6.1,Ron Howard,152173.0,PG,36.0,52.0,11,9,0,1,1,0,0,1,0
377,"[28, 53]",La Femme Nikita,/mjSe0ehEPaSRMFYF9qVFGpk9ubM.jpg,9322,3.049243,"secret identity,special unit,romance,government assassin",363,7.1,Luc Besson,56972.0,R,8.0,1.0,2,8,0,0,0,1,0,0,1
378,"[80, 18, 10749]",Days of Being Wild,/w08n5Ho4bwXS2ymwXNYmFAnSPX4.jpg,18311,3.048789,"fight,radio,rain,underwear,kiss,philippines,beating,prostitution,drink,sailor",71,7.3,Kar-Wai Wong,12798.0,12,3.0,1.0,12,8,1,0,0,0,0,0,1
379,"[35, 18]",Due Date,/88m6HPueDnDnuCGwDa2BtA9sK8m.jpg,41733,3.047961,"highway,slacker,hitchhiker,wallet,sunglasses,rest stop,vicodin,waffle",1301,6.2,Todd Phillips,281927.0,15,117.0,18.0,11,10,0,0,1,0,0,0,1
380,[18],There Will Be Blood,/p1GnnweLwSe82eMp55VEDio2Rcr.jpg,7345,3.046019,"brother brother relationship,deaf-mute,american dream,fanatic,pipeline,petrol,father,step father,oil,money,killer,alcoholic",1176,7.8,Paul Thomas Anderson,397430.0,15,16.0,11.0,12,9,0,0,0,0,0,0,1
381,"[28, 18, 878, 53]",Outbreak,/yuQ75cmuGLBqpub7EVO1H1FXdBn.jpg,6950,3.045288,"river,general,research,army,serum,monkey,epidemic,medical research",379,6.3,Wolfgang Petersen,93752.0,15,13.0,19.0,3,8,0,0,0,1,0,0,1
382,"[14, 28, 53]",The Crow,/vrQZSCP3WeYXCTXdJQ6mXgxb9L4.jpg,9495,3.039349,"halloween,arson,detroit",716,7.2,Alex Proyas,141853.0,18,35.0,10.0,5,8,0,0,0,1,0,1,1
383,"[28, 53]",A Good Day to Die Hard,/c2SQMd00CCGTiDxGXVqA2J9lmzF.jpg,47964,3.03874,"bomb,cia,russia,escape,courthouse,rogue,moscow",3225,5.2,John Moore,171847.0,15,107.0,55.0,2,10,0,0,0,1,0,0,1
384,"[28, 53, 80, 9648]",Salt,/956xMjH4sPoqimqoLOP6AI19mjm.jpg,27576,3.038495,"assassination,spy,cia,cold war,soviet union,double agent,race against time,revenge,kidnapping,on the run,shootout,espionage,female protagonist,hitwoman,terrorism,violence,russian spy,intelligence officer,action heroine",1738,6.2,Phillip Noyce,254619.0,R,122.0,26.0,7,10,0,0,0,1,0,0,1
385,[53],Who Am I,/pOvTNdPmYsHXSFWSud9VIgRhLpL.jpg,284427,3.036355,"hacker,computer,bka,bnd",339,7.6,Baran bo Odar,28798.0,15,11.0,4.0,9,10,0,0,0,0,0,0,1
386,"[878, 27, 53]",The Mist,/uYVheUBf8ITaocUP4Og9GXxOMIH.jpg,5876,3.034942,"father son relationship,monster,supermarket,fight,artist,fog,bible,spider,survivor,faith,prayer,blood splatter,gore,giant monster,blood,anger,thunderstorm",1069,6.6,Frank Darabont,231359.0,15,17.0,40.0,11,9,0,0,0,1,0,0,1
387,"[18, 12, 35]",Hunt for the Wilderpeople,/2wxvvnHKdZRB31Drf7PbRzPb0mR.jpg,371645,3.033873,new zealand,311,7.9,Taika Waititi,48946.0,12,21.0,10.0,3,10,0,0,1,1,0,0,1
388,"[878, 28, 53]",Predator 2,/4cAQgbIPislEeBJahLO5BsqAUZN.jpg,169,3.030587,"predator,war on drugs,extraterrestrial technology,los angeles,invisible",559,5.9,Stephen Hopkins,112101.0,15,61.0,25.0,11,8,0,0,0,1,0,0,1
389,"[28, 18]",Race,/szLfTQ2vLFQkNbP3dc0pnco1rje.jpg,323677,3.030399,"olympic games,biography,sport,historical figure,nazi germany,racism,african american,track and field",328,7.0,Stephen Hopkins,22976.0,PG,2.0,3.0,2,10,0,0,0,1,0,0,1
390,[35],Anchorman: The Legend of Ron Burgundy,/hafNeozn8Q4K6enP2ux5MTMCHjH.jpg,8699,3.028788,"journalism,sexism,ladder,panda,tv show in film,mustache,misogynist,newsroom,teleprompter,gang warfare,multiple cameos,aftercreditsstinger,duringcreditsstinger,news spoof",1251,6.7,Adam McKay,279164.0,R,21.0,2.0,7,9,0,0,1,0,0,0,0
391,[53],Triple 9,/dwRHF43p50wLIYAIxrUhLkK3jCI.jpg,146198,3.027369,"heist,betrayal,dirty cop",620,5.5,John Hillcoat,46924.0,15,55.0,9.0,1,10,0,0,0,0,0,0,1
392,"[10402, 18, 10749, 80]",Step Up,/uy1kUNtvYTZLkBSpQP8FQMRdAg7.jpg,9762,3.027359,"dancing,new love,dance,baltimore,art school,woman director",760,6.7,Anne Fletcher,95357.0,PG,4.0,3.0,8,9,1,0,0,0,0,0,1
393,[27],The Birds,/oFmlUPoPKFAzA9avylrEUs1FLj0.jpg,571,3.026888,"pet shop,seclusion,playground,suspense,seagull,fireplace,rotoscoping,head wound,cigarette smoking,bird attack,socialite,face slap,based on short story,cigarette lighter,practical joke,schoolteacher,lovebird,shopkeeper,chased down street,unsolved mystery,blood on head,schoolhouse",680,7.2,Alfred Hitchcock,136048.0,12,3.0,6.0,3,5,0,0,0,0,0,0,1
394,"[28, 18, 53]",White House Down,/niYdnzkrtBduR5lKtfeLXKXNaTT.jpg,117251,3.025109,"u.s. president,conspiracy,secret service,the white house",1598,6.4,Roland Emmerich,172268.0,12,105.0,43.0,6,10,0,0,0,1,0,0,1
395,"[80, 18]",Alpha Dog,/vyFj7ZFm5AWApNGowpUzoakMuyS.jpg,7457,3.024143,"sex,hostage drama,kidnapping and murder,swimming pool,drug",362,6.6,Nick Cassavetes,90163.0,15,19.0,4.0,1,9,0,0,0,0,0,0,1
396,"[28, 18, 10752]",Tears of the Sun,/qEe7aE4PgZCwnVoxKe7YsTm3Smh.jpg,9567,3.021698,"u.s. army,nigeria,president",456,6.4,Antoine Fuqua,97332.0,R,42.0,30.0,3,9,0,0,0,1,1,0,1
397,"[53, 27]",The Neon Demon,/pksGBk7yJqSuQ2F47S9eoqbtjWt.jpg,301365,3.021649,model,523,6.3,Nicolas Winding Refn,47724.0,18,5.0,1.0,6,10,0,0,0,0,0,0,1
398,"[18, 10749]",The Virgin Suicides,/uokfCMwTIyYaXfo3KoNSmzvjXn1.jpg,1443,3.021473,"michigan,1970s,youth,family,woman director",618,7.0,Sofia Coppola,121716.0,15,1.0,2.0,4,8,1,0,0,0,0,0,1
399,"[878, 53]",Predestination,/kDdUtDsGMQ3OYwoBtEQyJIGPz4V.jpg,206487,3.021326,time travel,1414,7.2,Michael Spierig,185083.0,15,4.0,2.0,8,10,0,0,0,1,0,0,1
400,"[27, 53]",One Hour Photo,/6ke85Kb6aX8RunZLwKpXCKYO9xv.jpg,9357,3.020477,"sexual abuse,hotel room,cheating,supermarket,penalty,nudity,knife,birthday party,photography,stalker,photo lab,suspense,sitting on a toilet,imagination,voyeurism,unfaithful husband",343,6.5,Mark Romanek,100757.0,15,6.0,3.0,8,9,0,0,0,0,0,0,1
401,"[14, 53, 9648]",The 9th Life of Louis Drax,/k1bPjoZsPsox2HsImb2NKUHWP3i.jpg,294795,3.01901,"based on novel,hitchcockian,sixth sense",55,6.5,Alexandre Aja,5269.0,15,5.0,6.0,9,10,0,0,0,0,0,1,1
402,"[18, 878]",K-PAX,/pCZxl9Si7i46nduSqUSzFdHYiEO.jpg,167,3.018412,"robbery,dream,hypnosis,investigation,murder,alien,hospital,planet,patient,medication,psychiatrist,science,claim,doubt,mental,help",513,7.0,Iain Softley,155070.0,12,13.0,5.0,10,9,0,0,0,1,0,0,1
403,"[12, 35]",Rat Race,/3pwTkYPd1dznkar1dMiEM2XVgTo.jpg,9896,3.018132,"casino,running,preisgeld,millionaire,road movie",385,6.0,Jerry Zucker,95913.0,12,64.0,14.0,7,9,0,0,1,1,0,0,0
404,[35],Bad Teacher,/ejTcAKe5F3zsvU9GXyl2ODAhkWl.jpg,52449,3.017536,"classroom,teacher,school,workplace humor",1203,5.4,Jake Kasdan,166113.0,R,17.0,6.0,5,10,0,0,1,0,0,0,0
405,"[28, 35]",Ride Along,/fLXPcxZ1fJjxqUg94FFb8wwM9YN.jpg,168530,3.015794,"police operation,police officer,brother-in-law brother-in-law relationship,duringcreditsstinger,black men",733,6.1,Tim Story,81914.0,12,94.0,12.0,1,10,0,0,1,1,0,0,0
406,[37],Unforgiven,/km6qw4qUkHQRN5y2U1juM1WkBFh.jpg,33,3.015677,"prostitute,sheriff,bounty,regret,right and justice,revenge,mutilation,one last job,reputation,englishman",867,7.7,Clint Eastwood,293918.0,15,2.0,5.0,8,8,0,0,0,0,0,0,0
407,"[28, 35, 80, 53]",Rush Hour,/jdfxpW5LF36sHsHjyH8CMBEG4TF.jpg,2109,3.014905,"two man army,consul,crime lord,art treasures,reference to chelsea clinton,roses are red poem,duringcreditsstinger",960,6.8,Brett Ratner,196443.0,12,62.0,20.0,9,8,0,0,1,1,0,0,1
408,"[28, 35, 80, 18, 10402]",Chicago,/18pCc2XZ5MO7wsywOYEbhoeuxNw.jpg,1574,3.009192,"chicago,based on stage musical,prison matron,jazz age,nude man murdered",514,6.7,Rob Marshall,180368.0,12,8.0,11.0,12,9,1,0,1,1,0,0,1
409,"[18, 10749]",The Perks of Being a Wallflower,/cyNQLnHnXZcTUDXVVSEYmquOTOI.jpg,84892,3.007409,"shyness,secret,narration,kiss,freshman,coming of age,teenage boy,high school senior,first love,aunt nephew relationship,santa hat,gay character,gay teenager,aunt nephew incest,based on young adult book",2142,7.7,Stephen Chbosky,374480.0,12,7.0,10.0,9,10,1,0,0,0,0,0,1
410,[27],Evil Dead,/z56CMoFXOhq4zieKMsokLaiB4qE.jpg,109428,3.002447,"remake,demon,necronomicon,duringcreditsstinger",1475,6.4,Fede Alvarez,132176.0,R,12.0,11.0,4,10,0,0,0,0,0,0,1
411,"[28, 12, 18]",Twister,/tKdDCkmb6obEhWEMLgGUUz5nDNs.jpg,664,3.00094,"wife husband relationship,tornado,twister,oklahoma,metereologist,invention,climate,barn,natural disaster,cow,truck,disaster,title spoken by character,aunt niece relationship,storm chaser,divorce",752,6.0,Jan de Bont,149251.0,PG,14.0,43.0,5,8,0,0,0,1,0,0,1
412,"[53, 878]",Automata,/wwo81W8PxHREEprnrJRww471hWm.jpg,262543,3.000742,"artificial intelligence,rain,future,dystopia,robot,desert,ecological disaster,child hitman",559,5.5,Gabe Ibáñez,44982.0,15,13.0,5.0,10,10,0,0,0,1,0,0,1
413,"[12, 14, 10751]",Percy Jackson & the Olympians: The Lightning Thief,/5NhyXkodMzDRW8uqtPqlxJsoBhf.jpg,32657,3.000351,"monster,greek mythology,god,poseidon  ,lightning bolt,based on young adult book",1447,6.0,Chris Columbus,147946.0,PG,123.0,25.0,2,10,0,1,0,1,0,1,0
414,"[35, 878]",Spaceballs,/xWt9KAcToCRdJ6JH8JyZZlhkVgG.jpg,957,2.999406,"android,lasergun,swordplay,temple,space marine,space battle,space travel,space mission,galaxy,comb,altar,magnet beam,jam,speed of light,plastic surgery,password,shield,nose,spoof",699,6.7,Mel Brooks,142902.0,Unrated,9.0,23.0,6,7,0,0,1,1,0,0,0
415,"[18, 27, 53]",The Girl with All the Gifts,/33IDooA29ctGHNE7gQW6cwbmRP3.jpg,375366,2.999054,"london england,based on novel,bunker,post-apocalyptic,infection,children,blood,zombie,little girl,scientist,gas mask,smell,eaten alive,fungus,white savior,whitewashing",209,6.4,Colm McCarthy,20828.0,15,14.0,6.0,9,10,0,0,0,0,0,0,1
416,"[14, 35]",Beetlejuice,/gWnW7vxm8yr01TVLQhL4aI02orp.jpg,4011,2.997393,"minister,giant snake,skeleton,calypso,arts,afterlife,child bride,possession,surrealism,teenage girl,ghost",1083,7.1,Tim Burton,200379.0,PG,15.0,13.0,2,7,0,0,1,0,0,1,0
417,[35],White Chicks,/hT4PEPFW3dQG7N5LZe5b2qYHCU0.jpg,12153,2.9969,"undercover,fbi,fish out of water,high society,buddy cop,crossdressing",493,6.2,Keenen Ivory Wayans,103926.0,12,48.0,9.0,6,9,0,0,1,0,0,0,0
418,"[18, 53]",Man Down,/xX13pMLcnSun6CqbOpKcVmkr335.jpg,296523,2.99522,"dream,post-apocalyptic,illusion,delusion,apocalypse,alternate reality,post war",35,6.1,Dito Montiel,4091.0,R,20.0,8.0,12,10,0,0,0,0,0,0,1
419,"[12, 28, 53]",For Your Eyes Only,/vpZZZ2eq8z4I6PSeGxR2UWNciGG.jpg,699,2.994647,"london england,submarine,england,sea,assassin,mountains,undercover,olympic games,drug traffic,secret mission,secret intelligence service,kgb,coral reef,ski jump,parrot,cryptographic device,gang of smugglers,figure skating,motorcycle,monastery,british secret service,skiing,ski chase",383,6.2,John Glen,74981.0,PG,61.0,7.0,6,7,0,0,0,1,0,0,1
420,"[27, 53]",Lights Out,/sXqrTXcBf9TdIv5rfgeFNu9Iwu7.jpg,345911,2.993528,"suicide,darkness,basement,based on short story,fear of the dark,ghost",692,6.2,David F. Sandberg,66643.0,15,14.0,4.0,7,10,0,0,0,0,0,0,1
421,"[12, 28, 53, 878]",Diamonds Are Forever,/viPjZ3JCOahcfNCcVhiPExusJoZ.jpg,681,2.991175,"spy,fight,secret organization,satellite,secret agent,plastic surgery,smuggling,murder,extortion,violence,millionaire,fingerprints,dirt bike,woman drowned,casino owner,old woman murdered,high dive,gender disguise,driving on two wheels,aftercreditsstinger,master villain",459,6.2,Guy Hamilton,77483.0,PG,54.0,6.0,12,6,0,0,0,1,0,0,1
422,"[28, 53, 878]",Déjà Vu,/abqvTL8xYQLgAtQGmyN7UxvCRGN.jpg,7551,2.988786,"deja vu,new orleans,time travel,investigator,fbi agent",1150,6.6,Tony Scott,252437.0,12,89.0,42.0,11,9,0,0,0,1,0,0,1
423,"[27, 53]",Drag Me to Hell,/4trULrbj4AoPLKSiIoQUTm2tPAG.jpg,16871,2.986795,"gypsy,work,gore,curse,psychologist,psychic,evil,loan officer,obituary,engagement ring,gypsies",734,6.1,Sam Raimi,163631.0,15,22.0,62.0,3,9,0,0,0,0,0,0,1
424,"[35, 18, 10749]",(500) Days of Summer,/5SjtNPD1bb182vzQccvEUpXHFjN.jpg,19913,2.986672,"date,sex,jealousy,fight,architect,gallery,interview,sister,party,love,friends,fate,los angeles,summer,ikea,year,heartache",2210,7.3,Marc Webb,396475.0,12,3.0,3.0,7,9,1,0,1,0,0,0,1
425,"[28, 18, 37]",The Unforgiven,/lKbpXSxEJhDTUmaNGov7K4NVCwO.jpg,6643,2.985184,"texas,farm,siblings,frontier,native american,racism,stolen child",25,5.6,John Huston,5623.0,PG,3.0,1.0,1,5,0,0,0,1,0,0,1
426,[35],Superbad,/7RZWtDkf0mgrxvJNFj43YW2Ugi8.jpg,8363,2.984502,"becoming an adult,high school,young people,one night",1695,7.0,Greg Mottola,439658.0,15,18.0,4.0,8,9,0,0,1,0,0,0,0
427,"[80, 18, 53]",Inside Man,/z6wYRuvk1lf60R4SmWETfdUvGsm.jpg,388,2.980266,"bank manager,kidnapper,nazi background,blackmail,document,ultimatum,court case,financial transactions",1310,7.2,Spike Lee,284014.0,15,31.0,3.0,3,9,0,0,0,0,0,0,1
428,"[28, 80, 53]",Undisputed II: Last Man Standing,/9jEXIplaGVkoxRSVKOl01kyi2E9.jpg,15255,2.976223,jail,101,6.9,Isaac Florentine,25971.0,15,29.0,8.0,4,9,0,0,0,1,0,0,1
429,"[18, 10402, 10749]",Les Misérables,/qEsrAHoxj746FRb7OLGYjrx1AI3.jpg,82695,2.970827,"france,robbery,brothel,mayor,star,musical,arrest,army,rebellion,wedding,falling in love,corpse,parole,convict,girl disguised as boy",1522,7.1,Tom Hooper,255799.0,12,57.0,33.0,12,10,1,0,0,0,0,0,1
430,"[18, 35, 10749]",3 Idiots,/wbE5SRTZFtQxgj2nIo4HJpQDk0k.jpg,20453,2.970044,"suicide,suicide attempt,college,friends,engineering,bollywood,student,subjective camera",735,7.7,Rajkumar Hirani,234826.0,12,1.0,1.0,12,9,1,0,1,0,0,0,1
431,"[12, 18, 10749, 28]",A Knight's Tale,/1ZUpkMivvlF0ZoyXQzHF4El3izv.jpg,9476,2.969614,"poetry,knight,tournament,duel,torture,writer,impostor,church,game,jousting,aftercreditsstinger",694,6.5,Brian Helgeland,142522.0,12,31.0,6.0,5,9,1,0,0,1,0,0,1
432,"[9648, 53]",North by Northwest,/aNV789h3oHm2pTHK5Bdq5RuiumZ.jpg,213,2.968595,"assassination,spy,mount rushmore national memorial,mistaken identity,on the run,fugitive,espionage,advertising,framed,government agent",841,7.8,Alfred Hitchcock,232113.0,15,7.0,3.0,7,4,0,0,0,0,0,0,1
